Country Name,Country Code,Education Expenditure,GDP,Literacy Rate,Employment Rate
Somalia,SOM,0.270661741,11679800110,41.02500153,27.564
South Africa,ZAF,6.604000092,3.78E+11,90.00135803,41.587
South Asia,SAS,1.97300005,4.48E+12,74.1877594,52.01740597
South Asia (IDA & IBRD),TSA,1.97300005,4.48E+12,74.1877594,52.01740597
South Sudan,SSD,1.465559959,11997800760,34.52275848,62.186
Spain,ESP,4.550000191,1.58E+12,98.59445953,50.602
Sri Lanka,LKA,1.200000048,84356860421,92.49240875,47.545
St. Kitts and Nevis,KNA,3.631000042,1077033111,0,0
St. Lucia,LCA,4.197579861,2519925939,0,57.983
St. Martin (French part),MAF,0,649206262.8,0,0
St. Vincent and the Grenadines,VCT,5.464000225,1065962963,96.90000153,53.201
Sub-Saharan Africa,SSF,3.378859997,2.03E+12,67.7150116,62.52092082
Sub-Saharan Africa (IDA & IBRD countries),TSS,3.378859997,2.03E+12,67.7150116,62.52092082
Sub-Saharan Africa (excluding high income),SSA,3.378859997,2.03E+12,67.7116394,62.52092082
Sudan,SDN,2.022130013,1.09E+11,60.6971817,37.725
Suriname,SUR,3.805999994,3782437296,95,49.917
Sweden,SWE,6.650000095,5.93E+11,0,61.769
Switzerland,CHE,5.610000134,8.85E+11,0,63.808
Syrian Arab Republic,SYR,5.130139828,8980060819,94.41914368,33.443
Tajikistan,TJK,5.447000027,12060602009,99.69999695,38.442
Tanzania,TZA,3.25999999,79158286334,82.01999664,79.307
Thailand,THA,2.612999916,5.15E+11,94.09999847,66.454
Timor-Leste,TLS,2.973999977,2243142908,69.90000153,65.485
Togo,TGO,3.798000097,9171261835,66.53707886,55.777
Tonga,TON,5.645999908,500274898.1,99.40000153,52.82
Trinidad and Tobago,TTO,2.880000114,28139944790,97.90000153,52.701
Tunisia,TUN,6.220449924,48529595417,80.5475769,38.979
Turkiye,TUR,2.615209818,1.11E+12,96.74221039,48.222
Turkmenistan,TKM,3.779779911,59887334844,99.40000153,46.093
Turks and Caicos Islands,TCA,3.285769939,1402054391,0,0
Tuvalu,TUV,3.730829954,62280311.59,0,0
Uganda,UGA,2.552000046,49272882214,80.58999634,67.941
Ukraine,UKR,5.933899879,1.79E+11,100,49.269
United Arab Emirates,ARE,3.895499945,5.04E+11,98.28540802,80.202
United Kingdom,GBR,5.400000095,3.34E+12,0,59.627
United States,USA,5.440000057,2.74E+13,0,59.6
Upper middle income,UMC,3.729944944,2.94E+13,95.95597076,60.06280622
Uruguay,URY,4.369999886,77240831587,98.7703476,58.468
Uzbekistan,UZB,5.28399992,90889149307,99.99997711,53.714
Vanuatu,VUT,2.173589945,1126313359,89.09999847,65.869
"Venezuela, RB",VEN,6.874680042,4.82E+11,97.59999847,51.433
Viet Nam,VNM,2.898000002,4.30E+11,96.13326263,71.794
Virgin Islands (U.S.),VIR,0,4444000000,0,48.002
West Bank and Gaza,PSE,5.434420109,17396300000,97.84384155,34.003
World,WLD,3.729120016,1.05E+14,87.01174927,57.7556098
"Yemen, Rep.",YEM,5.464789867,21606160663,54.09999847,27.042
Zambia,ZMB,3.582999945,28162630954,87.5,57.05
Zimbabwe,ZWE,2.050489902,26538273499,89.84999847,59.909
