Country Name,Country Code,Education Expenditure,GDP,Literacy Rate,Employment Rate
Oman,OMN,4.19907999,1.16411E+11,97.44013014,68.52859625
Other small states,OSS,4.980705023,2.55523E+11,86.47555645,57.91918184
Pacific island small states,PSS,0,11232231820,0,64.3865881
Pakistan,PAK,1.687000036,3.48695E+11,58.63980095,50.49220144
Palau,PLW,7.521989822,298813475.1,96.82550984,6.804167271
Panama,PAN,3.887000084,89245957349,95.88599864,59.86654204
Papua New Guinea,PNG,1.874830008,31981674070,62.25122994,46.90694685
Paraguay,PRY,3.414969921,45610170036,94.71307129,67.92345451
Peru,PER,3.894099951,2.86456E+11,94.69174202,71.0895483
Philippines,PHL,3.579999924,4.65459E+11,98.52397012,60.22225781
Poland,POL,4.920000076,8.83436E+11,99.80890388,59.17646975
Portugal,PRT,4.610000134,3.11023E+11,96.91427503,57.21960193
Post-demographic dividend,PST,5.050000191,6.532E+13,4.568079303,60.18774834
Pre-demographic dividend,PRE,3.138999939,1.65126E+12,65.97238307,61.00844823
Puerto Rico,PRI,6.072659969,1.30855E+11,92.8174806,42.30640132
Qatar,QAT,3.233669996,2.49563E+11,97.81260002,89.08198389
Romania,ROU,3.253051758,3.7166E+11,99.18416614,50.25129537
Russian Federation,RUS,3.701467514,2.15678E+12,99.93019087,60.51582175
Rwanda,RWA,4.144999981,15154944290,79.55944595,53.29537979
Samoa,WSM,4.480999947,1009825584,99.13647894,51.36465765
San Marino,SMR,3.108920097,1959738330,99.91715401,2.81223624
Sao Tome and Principe,STP,5.156000137,659510608,94.04149773,48.77499433
Saudi Arabia,SAU,5.13781023,1.16681E+12,97.69730196,60.44492642
Senegal,SEN,5.640999794,34179075324,59.82996266,51.40308237
Serbia,SRB,3.299659967,79675456710,99.49797404,55.69023575
Seychelles,SYC,4.739999771,2325086469,96.36292824,4.287662184
Sierra Leone,SLE,8.806349754,4416811729,52.73131695,55.98748182
Singapore,SGP,2.388999939,5.231E+11,97.69836691,67.75227152
Sint Maarten (Dutch part),SXM,0,1623165683,0,0
Slovak Republic,SVK,4.260000229,1.43028E+11,3.853468938,59.67999073
Slovenia,SVN,5.659999847,75201998054,99.62047802,58.69108759
